,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,"412Kalvin PhillipsMan City, 28, D(C),DMC","Kalvin Phillips Man City, 28, D(C),DMC",0(4),89,0.8,0.5,0.8,-,0.5,-,-,-,6.27
2,"413Adama TraoréFulham, 28, M(CLR),FW","Adama Traoré Fulham, 28, M(CLR),FW",0(8),80,0.1,-,0.3,-,0.1,0.1,-,-,6.27
3,"414Saman GhoddosBrentford, 30, M(CLR),FW","Saman Ghoddos Brentford, 30, M(CLR),FW",7(9),699,1.6,0.3,0.7,0.1,0.5,0.7,0.1,-,6.27
4,"415Yehor YarmoliukBrentford, 20, M(C)","Yehor Yarmoliuk Brentford, 20, M(C)",4(12),420,0.6,0.1,0.4,-,0.2,0.2,0.1,-,6.27
5,"416Luke ThomasSheff Utd, 22, D(L),M(L)","Luke Thomas Sheff Utd, 22, D(L),M(L)",11(1),920,1.7,0.8,0.8,0.2,1.8,0.5,0.4,-,6.26
6,"417Roméo LaviaChelsea, 20, DMC","Roméo Lavia Chelsea, 20, DMC",0(1),32,1.0,-,1,-,1,-,-,-,6.26
7,"418Fodé Ballo-TouréFulham, 27, D(L),M(L)","Fodé Ballo-Touré Fulham, 27, D(L),M(L)",0(5),55,0.6,0.6,0.4,0.2,0.4,-,-,-,6.26
8,"419Giovanni ReynaNottingham Forest, 21, AM(CLR)","Giovanni Reyna Nottingham Forest, 21, AM(CLR)",0(3),38,0.3,0.3,0.3,-,-,-,-,-,6.25
9,"420Jadon SanchoMan Utd, 23, AM(CLR)","Jadon Sancho Man Utd, 23, AM(CLR)",0(3),77,0.3,0.3,-,-,-,0.7,-,-,6.25
0,"421Omari ForsonMan Utd, 19, Midfielder","Omari Forson Man Utd, 19, Midfielder",1(1),57,-,-,-,-,-,-,-,-,6.25
1,"422Odysseas VlachodimosNottingham Forest, 29, GK","Odysseas Vlachodimos Nottingham Forest, 29, GK",5,450,-,-,-,-,1,0.2,-,-,6.25
2,"423VitinhoBurnley, 24, D(LR),M(LR)","Vitinho Burnley, 24, D(LR),M(LR)",16(4),1441,2.2,0.5,0.9,0.3,1.4,1.5,0.1,-,6.25
3,"424Jordan ClarkLuton, 30, M(CLR)","Jordan Clark Luton, 30, M(CLR)",5(7),482,1.2,0.3,0.6,-,0.3,0.9,0.1,-,6.24
4,"425ZankaBrentford, 33, D(C)","Zanka Brentford, 33, D(C)",5(2),457,1.1,1,0.9,0.3,2,0.7,0.3,-,6.24
5,"426Arnaut DanjumaEverton, 27, AM(L),FW","Arnaut Danjuma Everton, 27, AM(L),FW",5(9),589,0.4,0.2,0.5,0.1,-,0.2,-,-,6.23
6,"427Jacob Bruun LarsenBurnley, 25, AM(CLR),FW","Jacob Bruun Larsen Burnley, 25, AM(CLR),FW",4(16),474,0.2,0.2,0.4,0.1,0.3,0.2,-,-,6.23
7,"428Calum ChambersAston Villa, 29, D(CR),DMC","Calum Chambers Aston Villa, 29, D(CR),DMC",0(1),45,-,-,-,-,4,-,-,-,6.23
8,"429Sasa LukicFulham, 27, M(C)","Sasa Lukic Fulham, 27, M(C)",6(9),573,1.2,0.5,0.9,-,0.6,0.7,0.2,-,6.23
9,"430Pablo FornalsWest Ham, 28, M(CLR)","Pablo Fornals West Ham, 28, M(CLR)",4(11),420,0.7,0.4,0.2,-,0.3,0.7,0.1,-,6.23
0,"431Morgan RogersAston Villa, 21, AM(CL),FW","Morgan Rogers Aston Villa, 21, AM(CL),FW",0(3),60,-,-,1,-,0.7,0.3,-,-,6.23
1,"432Trevoh ChalobahChelsea, 24, D(CR),DMC","Trevoh Chalobah Chelsea, 24, D(CR),DMC",1(1),109,0.5,1,-,-,1.5,-,0.5,-,6.23
2,"433Andre BrooksSheff Utd, 20, M(C)","Andre Brooks Sheff Utd, 20, M(C)",8(4),610,0.8,0.8,0.6,-,0.7,0.7,0.1,-,6.22
3,"434Matheus FrançaCrystal Palace, 19, FW","Matheus França Crystal Palace, 19, FW",1(9),225,0.3,0.1,0.6,-,0.1,0.6,-,-,6.22
4,"435Ethan NwaneriArsenal, 16, Midfielder","Ethan Nwaneri Arsenal, 16, Midfielder",0(1),13,-,-,1,-,-,-,-,-,6.22
5,"436FelipeNottingham Forest, 34, D(C)","Felipe Nottingham Forest, 34, D(C)",4(2),270,1.5,0.2,1.3,-,0.8,0.3,0.2,-,6.22
6,"437Cauley WoodrowLuton, 29, AM(C),FW","Cauley Woodrow Luton, 29, AM(C),FW",2(11),215,0.8,-,0.5,-,0.4,0.5,0.1,-,6.22
7,"438Maxwel CornetWest Ham, 27, D(L),M(LR),FW","Maxwel Cornet West Ham, 27, D(L),M(LR),FW",1(4),105,0.6,0.2,0.2,-,0.2,0.8,-,-,6.22
8,"439Adam LallanaBrighton, 35, M(CLR)","Adam Lallana Brighton, 35, M(CLR)",10(9),658,0.4,0.1,0.4,-,0.1,0.2,0.1,-,6.22
9,"440Leander DendonckerAston Villa, 28, D(C),M(C)","Leander Dendoncker Aston Villa, 28, D(C),M(C)",1(7),118,0.8,0.3,0.1,0.1,0.4,0.1,0.3,-,6.21
0,"441Carlos ViníciusFulham, 28, FW","Carlos Vinícius Fulham, 28, FW",2(11),307,0.2,-,0.3,-,0.1,0.3,-,-,6.21
1,"442Kieffer MooreBournemouth, 31, FW","Kieffer Moore Bournemouth, 31, FW",0(8),100,-,-,0.6,-,-,-,-,-,6.21
